Entité administrative;Nombre d'indépendants;Hommes;Femmes;15-24 ans;25-49 ans;50-64 ans;65 ans et plus;Moins de 30 ans;55 ans et +;Indépendants (aidants non compris);Aidants;Actifs à titre principal;Actifs à titre complémentaire;Actifs après la pension;Annee
Nivelles;46639;30421;16218;1010;24488;16532;4609;3969;14495;45006;1633;31744;10003;4892;2016
Ath;7773;4852;2921;218;4235;2588;732;702;2264;7171;602;5076;1941;756;2016
Charleroi;26306;16945;9361;866;14967;8160;2313;3070;7260;24767;1539;16751;7074;2481;2016
Mons;16176;9905;6271;411;9310;5016;1439;1708;4511;15183;993;10131;4509;1536;2016
Mouscron;4521;2790;1731;127;2489;1485;420;406;1289;4067;454;3192;894;435;2016
Soignies;14013;8977;5036;356;7970;4520;1167;1405;3788;13093;920;8943;3816;1254;2016
Thuin;12562;7885;4677;378;6752;4249;1183;1286;3758;11721;841;8017;3290;1255;2016
Tournai;11720;7522;4198;275;6352;4001;1092;1067;3504;10736;984;7769;2809;1142;2016
Huy;10045;6427;3618;206;5479;3466;894;981;2964;9500;545;6174;2898;973;2016
Liège;43827;27907;15920;1195;24213;13988;4431;4813;12978;41638;2189;27533;11533;4761;2016
Verviers;24755;16335;8420;697;12689;8672;2697;2508;7897;23064;1691;16104;5707;2944;2016
Waremme;7418;4695;2723;179;4131;2431;677;653;2179;7019;399;4519;2161;738;2016
Arlon;2575;1506;1069;88;1320;912;255;284;828;2360;215;1876;427;272;2016
Bastogne;4574;2995;1579;134;2170;1709;561;436;1602;4233;341;2943;1049;582;2016
Marche-en-Famenne;5802;3889;1913;160;2903;2159;580;574;1924;5385;417;3662;1519;621;2016
Neufchâteau;6438;4298;2140;200;3249;2213;776;647;2169;5985;453;3889;1756;793;2016
Virton;3457;2151;1306;107;1654;1270;426;323;1221;3247;210;2218;793;446;2016
Dinant;10939;7107;3832;286;5728;3850;1075;1086;3426;10179;760;6849;2933;1157;2016
Namur;27614;17540;10074;742;15452;8883;2537;2821;7790;26188;1426;16978;7909;2727;2016
Philippeville;5913;3746;2167;195;3091;2046;581;613;1799;5516;397;3725;1557;631;2016
Nivelles;45240;29664;15576;1016;23943;15916;4365;3827;13763;43599;1641;31162;9465;4613;2015
Ath;7597;4758;2839;202;4193;2497;705;708;2173;6983;614;5037;1844;716;2015
Charleroi;25926;16717;9209;847;14700;8136;2243;3021;7087;24406;1520;16680;6854;2392;2015
Mons;15872;9777;6095;440;9108;4951;1373;1704;4411;14895;977;10088;4331;1453;2015
Mouscron;4510;2792;1718;125;2518;1456;411;432;1264;4025;485;3228;857;425;2015
Soignies;13652;8792;4860;384;7857;4315;1096;1361;3611;12749;903;8782;3700;1170;2015
Thuin;12281;7714;4567;361;6613;4208;1099;1225;3618;11416;865;7986;3136;1159;2015
Tournai;11629;7483;4146;297;6370;3921;1041;1102;3384;10610;1019;7849;2679;1101;2015
Huy;9809;6311;3498;254;5395;3337;823;962;2775;9245;564;6115;2795;899;2015
Liège;42966;27561;15405;1251;23688;13862;4165;4738;12602;40763;2203;27227;11237;4502;2015
Verviers;24518;16240;8278;721;12748;8490;2559;2495;7590;22802;1716;16139;5615;2764;2015
Waremme;7236;4609;2627;170;4066;2376;624;622;2107;6808;428;4512;2047;677;2015
Arlon;2561;1492;1069;85;1320;900;256;291;809;2354;207;1840;447;274;2015
Bastogne;4556;3008;1548;136;2209;1668;543;444;1530;4192;364;2968;1029;559;2015
Marche-en-Famenne;5752;3841;1911;164;2887;2148;553;556;1867;5323;429;3670;1487;595;2015
Neufchâteau;6382;4301;2081;197;3217;2230;738;643;2110;5910;472;3926;1709;747;2015
Virton;3425;2149;1276;102;1626;1277;420;325;1217;3205;220;2216;764;445;2015
Dinant;10801;7058;3743;298;5694;3791;1018;1090;3320;10030;771;6855;2857;1089;2015
Namur;26947;17224;9723;715;15234;8577;2421;2757;7431;25503;1444;16802;7564;2581;2015
Philippeville;5802;3701;2101;186;3082;1987;547;575;1707;5423;379;3716;1495;591;2015
Nivelles;44151;29092;15059;1035;23517;15423;4176;3658;13168;42526;1625;30521;9242;4388;2014
Ath;7373;4658;2715;176;4116;2407;674;645;2112;6769;604;4935;1746;692;2014
Charleroi;25603;16591;9012;872;14511;8034;2186;2966;6933;24104;1499;16602;6693;2308;2014
Mons;15600;9699;5901;430;8963;4875;1332;1620;4325;14635;965;10001;4213;1386;2014
Mouscron;4520;2779;1741;125;2549;1444;402;403;1229;4023;497;3270;843;407;2014
Soignies;13460;8612;4848;430;7766;4215;1049;1434;3530;12553;907;8728;3637;1095;2014
Thuin;12065;7600;4465;340;6575;4078;1072;1143;3498;11221;844;7862;3066;1137;2014
Tournai;11492;7389;4103;294;6351;3853;994;1061;3291;10460;1032;7823;2622;1047;2014
Huy;9554;6154;3400;262;5301;3246;745;924;2632;8981;573;6013;2733;808;2014
Liège;42228;27218;15010;1282;23375;13602;3969;4569;12251;39966;2262;26935;11016;4277;2014
Verviers;24330;16217;8113;765;12692;8426;2447;2456;7408;22626;1704;16130;5555;2645;2014
Waremme;6992;4504;2488;168;3930;2307;587;590;1999;6582;410;4377;1980;635;2014
Arlon;2582;1520;1062;95;1330;896;261;273;809;2354;228;1840;473;269;2014
Bastogne;4546;3026;1520;138;2220;1645;543;441;1523;4182;364;2927;1063;556;2014
Marche-en-Famenne;5752;3867;1885;156;2912;2123;561;537;1818;5323;429;3668;1500;584;2014
Neufchâteau;6381;4302;2079;207;3189;2268;717;624;2103;5916;465;3925;1723;733;2014
Virton;3422;2160;1262;98;1647;1275;402;317;1202;3204;218;2227;766;429;2014
Dinant;10519;6925;3594;309;5595;3640;975;1033;3154;9762;757;6784;2707;1028;2014
Namur;26342;17001;9341;746;14945;8396;2255;2672;7106;24919;1423;16591;7340;2411;2014
Philippeville;5737;3678;2059;173;3080;1969;515;543;1656;5373;364;3720;1474;543;2014
Nivelles;43336;28653;14683;972;23247;15142;3975;3447;12815;41710;1626;30196;9040;4100;2013
Ath;7286;4660;2626;145;4107;2392;642;573;2072;6704;582;4934;1709;643;2013
Charleroi;25434;16518;8916;876;14417;8025;2116;2858;6908;23939;1495;16591;6660;2183;2013
Mons;15390;9594;5796;387;8855;4863;1285;1500;4270;14428;962;9953;4134;1303;2013
Mouscron;4471;2771;1700;126;2525;1428;392;383;1208;3980;491;3254;831;386;2013
Soignies;13222;8522;4700;408;7686;4127;1001;1363;3440;12329;893;8642;3565;1015;2013
Thuin;11895;7519;4376;324;6493;4062;1016;1081;3363;11046;849;7844;3004;1047;2013
Tournai;11352;7338;4014;282;6251;3836;983;963;3238;10301;1051;7781;2580;991;2013
Huy;9385;6090;3295;254;5222;3207;702;864;2599;8799;586;6013;2633;739;2013
Liège;41469;26915;14554;1159;23119;13411;3780;4253;11859;39295;2174;26570;10890;4009;2013
Verviers;24143;16178;7965;712;12766;8312;2353;2358;7203;22375;1768;16077;5578;2488;2013
Waremme;6876;4415;2461;169;3858;2273;576;606;1955;6454;422;4343;1928;605;2013
Arlon;2618;1554;1064;90;1369;917;242;276;790;2400;218;1876;502;240;2013
Bastogne;4585;3091;1494;138;2259;1649;539;426;1538;4207;378;2976;1074;535;2013
Marche-en-Famenne;5735;3864;1871;168;2965;2058;544;553;1755;5318;417;3697;1490;548;2013
Neufchâteau;6323;4291;2032;201;3230;2186;706;610;2052;5860;463;3914;1706;703;2013
Virton;3451;2197;1254;94;1681;1283;393;310;1179;3240;211;2265;779;407;2013
Dinant;10404;6892;3512;293;5598;3596;917;998;3050;9617;787;6779;2660;965;2013
Namur;25821;16753;9068;686;14747;8275;2113;2516;6981;24405;1416;16408;7178;2235;2013
Philippeville;5675;3684;1991;159;3087;1938;491;520;1623;5305;370;3672;1491;512;2013
